file,status,method,n
error_de__v1_256511655365_0_b.png,ok,threshold,2
error_de__v1_256519512817_0_a.png,ok,hough,2
error_de__v1_256519512817_0_b.png,ok,hough,2
error_de__v1_256519519529_0.png,ok,hough,1
error_de__v1_256519522664_0.png,ok,hough,1
error_de__v1_256519529835_0.png,ok,threshold,1
error_de__v1_256519535115_0.png,ok,threshold,1
error_de__v1_256519540352_0_a.png,ok,hough,2
error_de__v1_256519540352_0_b.png,ok,hough,2
error_de__v1_256540774355_0.png,ok,threshold,1
error_de__v1_256547890172_0_a.png,ok,hough,2
error_de__v1_256547890172_0_b.png,ok,hough,2
error_de__v1_256560041377_0_a.png,ok,hough,2
error_de__v1_256560041377_0_b.png,ok,hough,2
error_de__v1_256724818181_0_a.png,ok,hough,2
error_de__v1_256724818181_0_b.png,ok,hough,2
error_de__v1_256854480612_0.png,ok,hough,1
error_de__v1_257358712478_0_a.png,ok,hough,2
error_de__v1_257358712478_0_b.png,ok,hough,2
error_de__v1_257446411985_0_a.png,ok,hough,2
error_de__v1_257446411985_0_b.png,ok,hough,2
error_de__v1_257460617838_0.png,ok,threshold,1
error_de__v1_257464680284_0.png,ok,threshold,1
error_de__v1_257566378250_0_a.png,ok,hough,2
error_de__v1_257566378250_0_b.png,ok,hough,2
error_de__v1_267644461506_0.png,ok,threshold,1
error_de__v1_267658127166_0.jpg,"rejected (rim 0.78, fill 0.60)",hough,0
error_de__v1_267723053453_0.png,ok,threshold,1
error_de__v1_277290685928_0.jpg,"rejected (rim 0.47, fill 0.76)",threshold,0
error_de__v1_278199918247_0.png,ok,threshold,1
error_de__v1_278205213798_0.jpg,"rejected (rim 0.68, fill 0.80)",hough,0
error_de__v1_278218737381_0.png,ok,hough,1
error_de__v1_286348683305_0.png,ok,threshold,1
error_de__v1_287311634874_0.jpg,"rejected (rim 0.60, fill 0.65)",hough,0
error_de__v1_287317929802_0_a.png,ok,hough,2
error_de__v1_287317929802_0_b.png,ok,hough,2
error_de__v1_287408313571_0.png,ok,hough,1
error_de__v1_287481909148_0.png,ok,hough,1
error_de__v1_298517999956_0_a.png,ok,hough,2
error_de__v1_298517999956_0_b.png,ok,hough,2
error_de__v1_306903545433_0.png,ok,hough,1
error_de__v1_306938265223_0.png,ok,hough,1
error_de__v1_313973656475_0_a.png,ok,hough,2
error_de__v1_313973656475_0_b.png,ok,hough,2
error_de__v1_315996096461_0.png,ok,threshold,1
error_de__v1_316596677396_0.png,ok,hough,1
error_de__v1_316610890057_0.png,ok,threshold,1
error_de__v1_317884774427_0_a.png,ok,hough,2
error_de__v1_317884774427_0_b.png,ok,hough,2
